isEating, maxMin, dwt, slope, fourier, median
1,0.219,-45.96194078,0.527589973,4835,-16.562
1,0.023,-8.353052406,0.075168927,2545,-10.4375
1,0.375,-43.00128468,0.227889806,25127,-11.562
1,0.031,-9.413005471,0.138635028,5766,-13.6565
1,0.15,-25.67646144,0.211955385,5463,-5.062
1,0.124,-10.34072957,1.037125067,4891,-21.25
1,0.344,-13.12531607,0.095749347,3330,-8.1565
1,0.107,-43.66384374,0.48165178,9290,-17.094
1,0.063,-18.34022858,0.413827287,13551,-8.094
1,0.196,-12.50730475,0.561539392,16873,-13.7815
1,0.255,-25.27906743,0.170180643,2488,-9.437
1,0.274,-36.23922254,0.153795907,4098,-7.875
1,0.039,-32.35013524,0.061528296,153985,-7.0625
1,0.218,-17.72221726,0.006617796,3738,-4.156
1,0.284,-21.16865571,0.542178843,3881,-27.219
1,0.095,-26.64944037,0.098116188,7672,-7.719
1,0.012,-14.80540178,-0.03254729,18281,13.375
1,0.026,-20.594485,-0.039673075,17427,11.188
1,0.033,-7.822015213,-0.172887179,15445,6.5
1,0.012,-13.65564616,0.206749408,9225,8.281
1,0.023,-23.5558482,-0.002947579,23270,15.75
1,0.051,-16.52862101,-0.09961205,32101,7.25
1,0.046,-26.03072194,-0.032857643,27983,14.6565
1,0.038,-17.54473345,0.018809412,18897,8.625
1,0.014,-15.2027958,-0.163069052,25637,6.062
1,0.036,-11.62271416,-0.453606017,20241,10.312
1,0.016,-20.06344781,-0.063621068,9848,11.688
1,0.008,-14.76014695,0.040984295,4819,4.938
1,0.04,-28.68166526,-0.144695817,11631,7.062
1,0.03,-23.68807717,-0.030392805,11580,15.188
1,0.032,-12.72792206,-0.381037873,11305,8.594
1,0.012,-12.94853938,0.207487343,6693,10.125
1,0.006,-17.32411614,-0.066394289,3214,9.25
1,0.016,-10.65114945,-0.069812107,12296,5.562
1,0.162,-16.13051989,-0.203627638,21008,9.375
1,0.126,-8.087180256,-0.104375544,12788,6.25
1,0.017,-12.02081528,-0.101443084,8696,7.4685
1,0.016,-18.34022858,-0.289658627,4923,7.75
1,0.018,-11.04783635,-0.096909924,8930,4.75
1,0.12,-5.081976436,-0.35239604,4081,7.062
1,0.023,-15.33502476,0.024391157,17430,5.812
1,0.013,-14.49568901,-0.139142728,4409,10.687
1,0.034,-9.722718241,-0.008656452,7295,5.062
1,0.026,-10.56205399,-0.086508007,7852,5.563
1,0.007,-18.25254734,-0.054048153,5292,9.656
1,0.018,-19.35775524,-0.406959468,7303,11.188
1,0.028,-10.91560738,-0.076470725,5859,8
1,0.025,-7.734333973,0.075588287,5513,6.062
1,0.066,-8.397600133,-0.199756312,7991,9
1,0.009,-15.42341311,-0.150591298,17458,8.438
1,0.065,-13.87626347,-0.399335224,7102,9.75
1,0.081,-22.05253918,-0.221971825,4402,13.1875
1,0.006,-15.15824807,-0.131172028,2888,8.125
1,0.022,-24.92551404,-0.473399332,8630,12.062
1,0.05,-17.94354168,0.003082376,5520,10.688
1,0.019,-12.94853938,0.119349701,2482,9.25
1,0.005,-21.83262898,-0.181769236,17583,4.938
1,0.016,-19.18027144,-0.13415201,17202,12.469
1,0.116,-13.52341719,-0.407332189,12890,7.25
1,0.02,-17.58857408,0.142246806,1139,7.125
1,0.021,-20.81580942,-0.219405159,10990,8.25
1,0.024,-16.8821744,-0.14786836,13356,7.5
1,0.079,-15.86606196,-0.37179811,7374,3.6565
1,0.057,-4.331736142,-0.231483707,24166,7
1,0.029,-10.78337841,-0.073153719,6262,3.875
1,0.234,-7.998791909,-0.808366991,13256,6.438
1,0.169,-8.882675385,-0.292275235,22123,8.125
1,0.077,-32.17335854,0.01273183,7203,6.25
1,0.015,-8.750446417,-0.262929826,9420,3.594
1,0.19,-20.72671397,-0.647147194,27829,9.5
1,0.076,-10.34072957,-0.194316115,6992,5.438
1,0.108,-6.187184335,-0.301239161,7769,4.5
1,0.016,-10.91631449,-0.006865954,19187,1.969
1,0.028,-12.64024082,-0.071984721,13316,1.875
1,0.049,-12.15304425,-0.208061892,18235,2.938
1,0.071,-9.147840428,-0.138695312,6811,4.8125
1,0.021,-14.67246571,-0.285024517,13456,4.125
1,0.015,-14.31891232,-0.04653782,27089,4.375
1,0.049,-6.938838844,-0.24135947,12156,3.531
1,0.129,-3.491693285,-0.351502525,3871,1
1,0.06,-14.76085406,-0.023833014,11154,2.312
1,0.043,-8.706605797,-0.086884997,42648,4.469
1,0.124,-55.33110563,-0.23643989,11742,8.125
1,0.031,-9.545941546,-0.005627645,2938,2
1,0.043,-17.27956841,-0.056278539,29953,2.812
1,0.044,-10.34214378,-0.054019472,33779,3.1565
1,0.145,-2.342644766,-0.163149278,28072,0.938
1,0.083,-7.292392234,-0.294532299,13809,6.5
1,0.028,-13.47957657,-0.230481939,25357,4.9685
1,0.092,-13.65635327,-0.62042098,15341,4.125
1,0.02,-8.794287038,0.018395377,2259,-0.25
1,0.103,-17.28027552,-0.291350394,11834,8.5
1,0.047,-13.25825215,-0.448904372,34061,5.688
1,0.016,-24.52812003,-0.115758153,27500,8.969
1,0.196,-13.61180554,-0.436010194,4191,5.594
1,0.078,-5.215619618,-0.275119744,5801,7.0935
1,0.087,-17.72151015,-0.0071008,14450,4.031
1,0.044,-12.10920363,-0.001190854,16899,-0.625
1,0.038,-9.678170514,0.005521263,17116,-2.625
1,0.064,-6.982679464,-0.401896747,7386,-3.688
1,0.089,-15.73312588,-0.007458464,6101,-3.125
1,0.108,-33.32240706,0.003277214,10145,-3.875
1,0.154,-26.25133925,0.172314937,4402,-8.875
1,0.186,-15.2027958,-0.009694157,4868,-1.688
1,0.086,-16.83833378,-0.017644624,15064,-4.188
1,0.061,-9.369164851,-0.026009313,7914,-0.812
1,0.076,-8.706605797,-0.027417877,6620,1.5935
1,0.137,-9.854947209,-0.06346125,8330,7.6875
1,0.063,-10.16465998,-0.020016072,12053,0.4375
1,0.185,-26.82621706,-0.067699554,4063,-0.781
1,0.206,-16.30729659,0.113308549,8430,0.312
1,0.093,-20.06415492,-0.123250369,7353,-1
1,0.086,-1.060660172,-0.122998194,5979,4.75
1,0.061,-11.40209685,-0.083978242,6329,-2.625
1,0.161,-14.53952963,-0.076006208,5697,-5.75
1,0.138,-27.44422839,0.013723244,5826,-9.281
1,0.1,-23.77575841,0.00654195,6051,-1.156
1,0.106,-8.927930219,-0.015471375,9854,-5.125
1,0.162,-36.9024887,0.018689809,5725,-6.6565
1,0.062,-24.61650837,-0.031642483,11767,1.5315
1,0.025,-14.8492424,-0.143751549,9409,-0.688
1,0.075,-11.62342127,-0.03359943,5485,0.125
1,0.033,-15.37957249,-0.00891396,10624,-4.812
1,0.068,-21.12410798,0.00029566,16112,0.688
1,0.055,-14.54023674,-0.090228034,2548,1.562
1,0.044,-19.79898987,-0.236118299,4223,0.938
1,0.095,-24.92551404,0.064438885,9112,-1.313
1,0.07,-22.27386361,-0.12729648,9271,-0.5625
1,0.064,-27.13592983,-0.065158603,8658,0.5
1,0.04,-13.03763483,0.01922313,7648,1.625
1,0.244,-10.91631449,0.167834623,6433,-10
1,0.09,-11.04783635,-0.130985084,3981,1.625
1,0.075,-23.46675275,-0.179281915,7928,-1.8125
1,0.027,-20.10870264,-0.020214967,10505,0.438
1,0.052,-17.94212747,0.008972125,2975,-3.0935
1,0.083,-17.94283457,-0.012548351,7906,-1.188
1,0.062,-24.26224788,0.043400084,13099,-3.2815
1,0.091,-17.32411614,-0.032852636,7974,-0.5935
1,0.123,-33.71980107,0.054134765,12280,-4.062
1,0.076,-19.88808533,-0.038930303,5572,4.75
1,0.029,-11.22532015,-0.082640276,6123,6.062
1,0.033,-10.07627163,0.010012325,14393,-0.812
1,0.077,-18.69448908,0.099343944,10941,-0.875
1,0.076,-23.90940159,-0.027496783,7977,3.875
1,0.025,-7.292392234,0.001899194,10931,-0.125
1,0.169,-12.86085814,0.042600739,15355,3.5
1,0.13,-18.60539363,-0.008501607,12449,0.125
1,0.054,-11.44593747,0.001046608,9183,-0.75
1,0.051,-6.585285453,-0.146136593,15038,5.562
1,0.054,-9.987883284,-0.014630007,9542,2.75
1,0.11,-25.10229073,-0.002905395,12577,-0.531
1,0.21,-25.76555689,0.02771176,5532,-2.969
1,0.065,-13.08147545,-0.016851201,16928,4.438
1,0.065,-15.64473753,0.019174775,8272,6.062
1,0.061,-17.36795676,0.05506013,8974,5.594
1,0.144,-25.72030206,0.05081049,6841,4.625
1,0.101,-7.46916893,-0.008528769,4977,1.375
1,0.09,-29.21199534,0.084008557,5638,2.3435
1,0.043,-14.05374728,-0.014673944,4224,3.0625
1,0.143,-54.88845678,0.082087524,5877,-0.688
1,0.236,-12.19759198,-0.010865281,4788,0.937
1,0.065,-13.83242285,0.015442928,11138,-0.062
1,0.107,-39.55413913,0.151325619,13815,-2.625
1,0.03,-13.87697058,0.002793901,7436,0.375
